block	trial	vStim1	vStim2	aStim	resp	rt	fb	iti	feedJitter	vSymbol1	vSymbol2	vSymbolCorrect	aFile	stimOnset	respOnset	feedbackOnset
2	1	3	4	3	1	1459	1	3272	1666	g	h	g	norm_au.wav	8319	9778	11998
2	2	4	3	3	2	986	1	2874	2050	h	g	g	norm_au.wav	16886	17872	20951
2	3	3	1	3	1	866	1	2403	2052	g	e	g	norm_au.wav	25375	26241	29451
2	4	1	4	4	2	1654	1	2744	1417	e	h	h	norm_f.wav	34232	35886	37669
2	5	4	2	2	2	1327	1	2067	930	h	f	f	norm_k.wav	41768	43095	44720
2	6	3	1	1	2	1434	1	2685	2145	g	e	e	norm_e.wav	49444	50878	53633
2	7	3	4	4	2	1201	1	2813	1958	g	h	h	norm_f.wav	58461	59662	62441
2	8	1	3	1	1	1522	1	3266	2098	e	g	e	norm_e.wav	67732	69254	71862
2	9	2	4	2	1	1283	1	2379	2480	f	h	f	norm_k.wav	76268	77551	80759
2	10	1	2	2	1	1420	0	2401	2677	e	f	f	norm_k.wav	85179	86599	89899
2	11	1	4	4	2	1854	1	2192	1019	e	h	h	norm_f.wav	94107	95961	97147
2	12	4	1	4	2	1224	0	2944	1426	h	e	h	norm_f.wav	102113	103337	105554
2	13	2	4	4	0	0	2	2776	2107	f	h	h	norm_f.wav	110354	0	114484
2	14	3	1	3	1	1077	1	3058	1727	g	e	g	norm_au.wav	119560	120637	123313
2	15	2	4	2	0	0	2	2542	1580	f	h	f	norm_k.wav	127880	0	131504
2	16	4	2	4	2	1295	0	1754	1597	h	f	h	norm_f.wav	135270	136565	138881
2	17	3	1	1	2	1454	1	2484	2709	g	e	e	norm_e.wav	143378	144832	148100
2	18	1	3	1	1	1332	1	3675	2093	e	g	e	norm_e.wav	153796	155128	157902
2	19	4	2	2	2	1102	1	2516	1033	h	f	f	norm_k.wav	162432	163534	165482
2	20	2	3	3	2	1543	1	1892	2244	f	g	g	norm_au.wav	169399	170942	173680
2	21	4	1	1	2	1290	1	1969	1555	h	e	e	norm_e.wav	177672	178962	181240
2	22	1	2	1	1	1218	1	3046	1102	e	f	e	norm_e.wav	186305	187523	189427
2	23	3	1	1	2	1081	1	3054	1463	g	e	e	norm_e.wav	194508	195589	197984
2	24	4	2	4	1	1417	1	2417	2420	h	f	h	norm_f.wav	202423	203840	206870
2	25	2	4	2	1	1160	1	1798	1396	f	h	f	norm_k.wav	210693	211853	214112
2	26	3	2	3	1	1321	1	2659	2361	g	f	g	norm_au.wav	218789	220110	223166
2	27	2	3	2	1	1020	1	2496	2369	f	g	f	norm_k.wav	227675	228695	232081
2	28	3	1	3	1	976	1	1788	1901	g	e	g	norm_au.wav	235892	236868	239809
2	29	4	1	4	1	1408	1	1943	2855	h	e	h	norm_f.wav	243762	245170	248656
2	30	3	4	3	1	944	1	1955	3292	g	h	g	norm_au.wav	252628	253572	257947
2	31	3	4	4	2	1321	1	2656	2062	g	h	h	norm_f.wav	262627	263948	266726
2	32	1	3	3	2	1901	1	2128	1902	e	g	g	norm_au.wav	270881	272782	274797
2	33	2	3	3	2	1034	1	2068	2417	f	g	g	norm_au.wav	278892	279926	283330
2	34	1	4	1	1	1180	1	2538	2718	e	h	e	norm_e.wav	287896	289076	292626
2	35	2	4	4	2	1697	1	3050	2151	f	h	h	norm_f.wav	297688	299385	301855
2	36	1	2	1	1	1057	1	2115	1878	e	f	e	norm_e.wav	305997	307054	309920
2	37	2	1	1	2	900	1	2448	2348	f	e	e	norm_e.wav	314384	315284	318746
2	38	2	4	2	1	1063	1	2117	1780	f	h	f	norm_k.wav	322888	323951	326693
2	39	2	1	2	1	1380	1	2411	2793	f	e	f	norm_k.wav	331129	332509	335937
2	40	2	3	2	1	1010	1	2387	1699	f	g	f	norm_k.wav	340350	341360	344070
