block	trial	vStim1	vStim2	aStim	resp	rt	fb	iti	feedJitter	vSymbol1	vSymbol2	vSymbolCorrect	aFile	stimOnset	respOnset	feedbackOnset
1	1	2	3	3	2	1679	1	1969	1580	b	c	c	norm_a.wav	7028	8707	10647
1	2	4	3	3	2	1061	1	3675	2417	d	c	c	norm_a.wav	16334	17395	20764
1	3	3	1	3	1	1333	1	1955	1902	c	a	c	norm_a.wav	24747	26080	28676
1	4	4	3	4	1	1156	1	2379	930	d	c	d	norm_s.wav	33082	34238	36042
1	5	2	1	1	2	1815	1	2656	2480	b	a	a	norm_o.wav	40719	42534	45219
1	6	3	4	4	2	1131	1	2067	1699	c	d	d	norm_s.wav	49304	50435	53024
1	7	4	2	4	1	1365	1	1943	1396	d	b	d	norm_s.wav	56984	58349	60401
1	8	4	1	1	2	1794	1	2411	1426	d	a	a	norm_o.wav	64830	66624	68271
1	9	3	2	2	2	1492	1	2387	1019	c	b	b	norm_d.wav	72682	74174	75722
1	10	2	3	2	0	0	2	2192	1780	b	c	b	norm_d.wav	79936	0	83737
1	11	1	3	1	1	898	1	2538	2709	a	c	a	norm_o.wav	88300	89198	93021
1	12	4	1	1	2	1086	1	1788	2093	d	a	a	norm_o.wav	96830	97916	100939
1	13	3	1	1	2	851	1	2128	2420	c	a	a	norm_o.wav	105081	105932	109532
1	14	4	1	4	1	907	1	1754	2098	d	a	d	norm_s.wav	113311	114218	117424
1	15	2	3	3	2	1312	1	2117	2793	b	c	c	norm_a.wav	121568	122880	126403
1	16	2	3	2	1	942	1	3272	2677	b	c	b	norm_d.wav	131701	132643	136421
1	17	3	2	2	2	974	1	2484	2369	c	b	b	norm_d.wav	140922	141896	145304
1	18	1	3	3	2	692	1	2115	1033	a	c	c	norm_a.wav	149442	150134	152501
1	19	3	1	1	2	802	1	2542	1958	c	a	a	norm_o.wav	157069	157871	161071
1	20	2	4	4	2	1374	1	2685	2348	b	d	d	norm_s.wav	165781	167155	170154
1	21	3	2	2	2	965	1	1892	1901	c	b	b	norm_d.wav	174072	175037	177992
1	22	1	2	2	2	1202	1	2068	2107	a	b	b	norm_d.wav	182071	183273	186198
1	23	2	3	2	1	999	1	2776	2062	b	c	b	norm_d.wav	190992	191991	195077
1	24	2	3	3	2	847	1	3054	2145	b	c	c	norm_a.wav	200159	201006	204334
1	25	3	4	3	1	788	1	2944	2050	c	d	c	norm_a.wav	209293	210081	213359
1	26	4	3	4	1	1043	1	3058	1878	d	c	d	norm_s.wav	218439	219482	222343
1	27	1	4	4	2	1483	1	2813	1597	a	d	d	norm_s.wav	227171	228654	230791
1	28	3	1	3	1	793	1	2744	1727	c	a	c	norm_a.wav	235547	236340	239294
1	29	1	3	1	1	1003	1	2417	2244	a	c	a	norm_o.wav	243736	244739	248007
1	30	1	2	1	1	858	1	2448	2855	a	b	a	norm_o.wav	252478	253336	257364
1	31	1	3	1	1	908	1	2516	1417	a	c	a	norm_o.wav	261897	262805	265349
1	32	4	2	2	2	1533	1	3050	1555	d	b	b	norm_d.wav	270413	271946	273985
1	33	1	2	2	2	1052	1	2659	2718	a	b	b	norm_d.wav	278662	279714	283396
1	34	2	3	2	1	1102	1	3266	1666	b	c	b	norm_d.wav	288674	289776	292353
1	35	4	3	3	2	841	1	2874	2052	d	c	c	norm_a.wav	297242	298083	301308
1	36	1	2	1	1	1089	1	2496	1102	a	b	a	norm_o.wav	305824	306913	308945
1	37	1	3	3	2	857	1	3046	1463	a	c	c	norm_a.wav	314019	314876	317502
1	38	4	2	4	1	1026	1	1798	2151	d	b	d	norm_s.wav	321322	322348	325497
1	39	1	4	4	2	1639	1	2401	3292	a	d	d	norm_s.wav	329925	331564	335242
1	40	2	4	4	2	1527	1	2403	2361	b	d	d	norm_s.wav	339669	341196	344053
