block	trial	vStim1	vStim2	aStim	resp	rt	fb	iti	feedJitter	vSymbol1	vSymbol2	vSymbolCorrect	aFile	stimOnset	respOnset	feedbackOnset
1	1	3	2	2	1	1505	0	2067	2677	c	b	b	norm_s.wav	7128	8633	11836
1	2	2	4	2	2	1259	0	3046	1699	b	d	b	norm_s.wav	16899	18158	20618
1	3	2	1	2	1	1270	1	2813	2709	b	a	b	norm_s.wav	25448	26718	30179
1	4	3	2	3	1	1540	1	3266	2062	c	b	c	norm_o.wav	35483	37023	39577
1	5	2	4	4	2	1568	1	1969	2145	b	d	d	norm_d.wav	43591	45159	47749
1	6	3	1	1	2	1431	1	1943	2855	c	a	a	norm_a.wav	51725	53156	56601
1	7	3	1	3	0	0	2	2403	2151	c	a	c	norm_o.wav	61021	0	65195
1	8	1	4	1	1	1038	1	2656	2244	a	d	a	norm_a.wav	69878	70916	74141
1	9	3	4	4	2	1269	1	3050	1417	c	d	d	norm_d.wav	79214	80483	82648
1	10	1	4	4	1	1577	0	1955	2361	a	d	d	norm_d.wav	86617	88194	91005
1	11	3	1	1	2	1053	1	2944	1033	c	a	a	norm_a.wav	95962	97015	99011
1	12	1	3	1	1	1480	1	2401	1666	a	c	a	norm_a.wav	103437	104917	107128
1	13	1	2	1	1	965	1	2192	1878	a	b	a	norm_a.wav	111335	112300	115233
1	14	3	2	2	2	1273	1	2484	1555	c	b	b	norm_s.wav	119733	121006	123302
1	15	2	4	4	2	1171	1	2448	1463	b	d	d	norm_d.wav	127769	128940	131245
1	16	4	2	4	1	1341	1	2117	1958	d	b	d	norm_d.wav	135384	136725	139367
1	17	1	2	2	1	1000	0	2744	2052	a	b	b	norm_s.wav	144136	145136	148208
1	18	3	1	3	1	1040	1	1754	2050	c	a	c	norm_o.wav	151982	153022	156046
1	19	3	4	3	1	1130	1	2496	2348	c	d	c	norm_o.wav	160564	161694	164949
1	20	1	2	1	1	1215	1	2387	1727	a	b	a	norm_a.wav	169361	170576	173128
1	21	3	4	3	1	1405	1	2659	1102	c	d	c	norm_o.wav	177811	179216	180929
1	22	3	2	3	1	925	1	3058	930	c	b	c	norm_o.wav	186015	186940	188971
1	23	1	3	3	2	1273	1	1788	2480	a	c	c	norm_o.wav	192780	194053	197294
1	24	2	4	2	1	1306	1	2542	1580	b	d	b	norm_s.wav	201855	203161	205461
1	25	1	3	1	1	1027	1	1892	3292	a	c	a	norm_a.wav	209365	210392	214675
1	26	3	2	2	2	1702	1	2068	2369	c	b	b	norm_s.wav	218767	220469	223157
1	27	2	1	1	2	1348	1	2417	2417	b	a	a	norm_a.wav	227597	228945	232041
1	28	3	4	4	1	1510	0	3054	1902	c	d	d	norm_d.wav	237123	238633	241055
1	29	4	3	4	1	1501	1	2685	2718	d	c	d	norm_d.wav	245767	247268	250511
1	30	2	1	2	1	1696	1	1798	2793	b	a	b	norm_s.wav	254320	256016	259137
1	31	2	4	2	2	1032	0	2516	1019	b	d	b	norm_s.wav	263678	264710	266714
1	32	1	3	3	2	1206	1	2874	1426	a	c	c	norm_o.wav	271610	272816	275050
1	33	1	3	1	1	951	1	3272	1780	a	c	a	norm_a.wav	280345	281296	284169
1	34	3	1	1	2	862	1	2379	1396	c	a	a	norm_a.wav	288573	289435	291980
1	35	1	2	2	1	1257	0	2128	2420	a	b	b	norm_s.wav	296126	297383	300560
1	36	4	3	3	2	1004	1	2411	2093	d	c	c	norm_o.wav	304996	306000	309122
1	37	3	2	3	1	1234	1	2776	2098	c	b	c	norm_o.wav	313912	315146	318051
1	38	4	1	4	1	1553	1	2538	1901	d	a	d	norm_d.wav	322616	324169	326530
1	39	4	2	4	1	1460	1	3675	2107	d	b	d	norm_d.wav	332216	333676	336336
1	40	3	4	4	1	1088	0	2115	1597	c	d	d	norm_d.wav	340469	341557	344093
